FCCs;kcat;rxns;rxnNames;enzymes
-6.11E-09;4.8743;y300013;peroxisomal acyl-CoA thioesterase (18:2);Q6C1N6
-6.11E-09;394;y000529;guanylate kinase (GMP:dATP);Q6CBQ9
-6.11E-09;13.97505;y002148;3-hydroxyacyl-thioester dehydratase (trans-but-2-enoyl-ACP);Q6CGI2
-6.11E-09;13.97505;y002149;3-hydroxyacyl-thioester dehydratase (trans-hex-2-enoyl-ACP);Q6CGI2
-6.11E-09;13.97505;y103332;PA kinase, Golgi membrane;standard
-6.11E-09;13.97505;y103340;PA kinase, vacuolar membrane;standard
-6.11E-09;6.4018;y000294_EXP_1;cis-prenyltransferase step 14;Q6CBH1
-6.11E-09;140.606;y000667_REV;isopentenyl-diphosphate D-isomerase (reversible);Q6C2Y8
-6.11E-09;28.728;y002240_EXP_2;acyl-CoA oxidase (docosanoyl-CoA);Q6C6T0
-6.11E-09;29.2426;y002239_EXP_2;acyl-CoA oxidase (icosanoyl-CoA);Q6C6T0
-6.11E-09;0.0788;y300022;long-chain alcohol oxidase (C10);Q6CEP8
-6.11E-09;113;y300066;L-Serine:glyoxylate aminotransferase;Q6C5N1
-6.11E-09;1.4152;y000072;4-methyl-2-oxopentanoate decarboxylase;Q6C9L5
-6.11E-09;201;y001022;succinate-CoA ligase (ADP-forming);Q6CA97, Q6C4S9
-6.11E-09;23.9406;y001095_EXP_2;yUMP synthetase;Q6C7U6
-6.11E-09;11;y103176;PI 3,5-P2 phosphatase;Q6CA28
-6.11E-09;11;y103184;PI 3,5-P2 phosphatase;Q6CA28
-6.11E-09;22.4783;y000099_REV_EXP_2;acetyl-CoA ACP transacylase (reversible);Q6C7X2, Q6C5F2, Q6BZY3
-6.11E-09;64.5;y000450;fructose-bisphosphate aldolase;Q6C4K5
-6.11E-09;0.1544;y000188;alkaline phosphatase (dihydroneopterin);Q6C1F6
-6.11E-09;17.1428;y001798_EXP_1;fumarate(2-) exchange;Q6C3Q6
-6.72E-09;13.97505;y300039;erythrose kinase;standard
-6.87E-09;53.9;y000784;nicotinamide-nucleotide adenylyltransferase;Q6C4M1
-6.87E-09;53.9;y000785;nicotinate-nucleotide adenylyltransferase;Q6C4M1
-6.87E-09;16.3971;y000254;carnitine O-acetyltransferase;Q6CF46
-7.95E-09;4.2;y002126;sedoheptulose bisphosphatase;Q6C9Q2
-1.01E-08;850000;y000256_EXP_2;catalase;Q6C3H7
-1.17E-08;38;y000884;phosphoenolpyruvate carboxykinase;Q6CBN4
-1.18E-08;0.3727;y000760_REV;N-acetylglucosamine-6-phosphate synthase (reversible);Q6C8F2
-1.26E-08;1.8071;y000534_EXP_2;hexokinase (D-glucose:ATP);Q6C5S9
-1.39E-08;186;y000505;glycine-cleavage complex (lipoamide);Q6CHE0, Q6C8C6, Q6C7J7, Q6C340
-1.39E-08;1646;y000182_EXP_2;aldehyde dehydrogenase (isobutyl alcohol, NAD);Q6CGT5
-1.45E-08;30;y000658_EXP_1;isocitrate dehydrogenase (NAD+);Q6CA33
-1.45E-08;898;y000700;leucine transaminase;Q6CAN4
-1.45E-08;12.9;y000976_EXP_1;ribonucleotide reductase;Q6CFU6
-1.45E-08;26.0322;y001247;phosphatidylinositol-4-phosphate 5-kinase;Q6C0L8
-1.45E-08;8.701;y000693;L-threonine deaminase;Q6CAI4
-1.50E-08;16.1;y000772_EXP_1;NADH kinase mitochondrial;Q6C5H7
-1.51E-08;8.1169;y000066;4-amino-4-deoxychorismate synthase;Q6CHS7
-1.54E-08;35.7934;y000546;homoserine dehydrogenase (NADH);Q6CAP2
-1.59E-08;90;y000330;deoxyguanylate kinase (dGMP:ATP);Q6CBQ9
-1.59E-08;0.296;y000030;2-oxo-4-methyl-3-carboxypentanoate decarboxylation;Q6CAN4
-1.59E-08;65.517;y002079_REV_EXP_2;trehalose transporter (reversible);Q6CG69
-1.64E-08;2.3669;y000445_EXP_5;formate dehydrogenase;Q6CBY8
-1.79E-08;16.138;y000060;3-isopropylmalate dehydratase;Q6CG29
-1.79E-08;6.7977;y000362_EXP_1;dolichyl-phosphate-mannose--protein mannosyltransferase;Q6C6H5
-1.79E-08;97.6;y000253;carnitine O-acetyltransferase;Q6CF46
-1.79E-08;11.863;y000732_EXP_2;methylenetetrahydrofolate dehydrogenase (NADP);Q6BZU8
-1.79E-08;134.4;y000719;malic enzyme (NADP);Q6C5F0
-1.93E-08;1.1644;y000080_EXP_2;5,10-methylenetetrahydrofolate reductase (NADPH);Q6CEM7
-2.08E-08;240;y000174_EXP_4;aldehyde dehydrogenase (acetylaldehyde, NAD);Q6C2W9
-2.16E-08;1141;y000714;malate dehydrogenase, cytoplasmic;Q6C5X9
-2.16E-08;15.0163;y002201_REV;fatty-acid--CoA ligase (tetradecanoate), lipid particle (reversible);Q6C8Q3
-2.16E-08;460;y000451_REV;fumarase (reversible);Q6CCT2
-2.16E-08;25.8178;y002199;fatty-acid--CoA ligase (octadecenoate), ER membrane;Q6C8Q3
-2.16E-08;25.8178;y002202;fatty-acid--CoA ligase (hexadecanoate), lipid particle;Q6C8Q3
-2.16E-08;25.8178;y002212;fatty-acid--CoA ligase (cerotic acid), cell envelope;Q6C8Q3
-2.16E-08;486;y000961;pyruvate dehydrogenase;Q6CF67, Q6C8C6, Q6C812, Q6C4G4, Q6C0Y7
-2.16E-08;240;y000173_EXP_2;aldehyde dehydrogenase (acetaldehyde, NADP);Q6C9V7
-2.16E-08;240;y000173_EXP_4;aldehyde dehydrogenase (acetaldehyde, NADP);Q6C2W9
-2.16E-08;399;y000771_EXP_1;NADH kinase;Q6C4T0
-2.16E-08;1646;y000169_EXP_3;aldehyde dehydrogenase (2-phenylethanol, NAD);Q6C7T0
-2.16E-08;58.688;y200003;ATP-citrate lyase;Q6C7Y1, Q6C3H5
-2.16E-08;14.837;y002204_REV;fatty-acid--CoA ligase (octadecanoate), lipid particle (reversible);Q6C8Q3
-2.16E-08;73.7764;y000023;2-isopropylmalate hydratase;Q6CG29
-2.16E-08;2.6579;y103112;PI 3-P phosphatase;Q6CA28
-2.18E-08;6.3036;y000893_REV;phosphoglycerate mutase (reversible);Q6CFX7
-2.18E-08;14.6231;y001049;transketolase 1;Q6C6T4
-2.19E-08;25.8178;y002198;fatty-acid--CoA ligase (octadecanoate), ER membrane;Q6C8Q3
-2.19E-08;0.1291;y001034;thiamine diphosphokinase;Q6C536
-2.19E-08;16.2134;y000275;choline/ethanolaminephosphotransferase;Q6CCA9
-2.19E-08;1.1;y000373;farnesyltranstransferase;Q6C8T9
-2.19E-08;2.2;y000480;glutamyl-tRNA synthetase;Q6C5H9
-2.19E-08;2.1803;y003258_EXP_1;lanosteryl ester hydrolase (16:1), lipid particle;Q6C7I7
-2.19E-08;0.5106;y000347;dihydroneopterin aldolase;Q6CI15
-2.19E-08;2.2969;y000521_REV;GPI-anchor assembly, step 7 (reversible);Q6C216
-2.19E-08;2.2324;y000261;ceramide-1 hydroxylase (26C);Q6C5K3
-2.19E-08;1.0517;y300012;fatty-acid--CoA ligase (octadecadienoate), peroxisome;Q6C5Q8
-2.19E-08;9.4513;y002258;2-enoyl-CoA hydratase (3-hydroxydocosanoyl-CoA);F2Z6I5
-2.19E-08;17.225;y300008_EXP_8;long-chain alcohol dehydrogenase (C16);Q6C6P0
-2.19E-08;146.6155;y000674;L-alanine transaminase;Q6CA32
-2.19E-08;1.1718;y000676;L-allo-threonine dehydrogenase;Q6CCQ8
-2.19E-08;4.508;y000890_REV;phosphoglucosamine mutase (reversible);Q6C454
-2.19E-08;2.0964;y000062_EXP_2;3-methyl-2-oxobutanoate decarboxylase;Q6C9L5
-2.19E-08;9.0573;y002239_EXP_4;acyl-CoA oxidase (icosanoyl-CoA);F2Z630
-2.19E-08;1.0903;y000555;hydroxybenzoate octaprenyltransferase;Q6C2S2
-2.19E-08;38.7964;y000002_EXP_1;(R)-lactate:ferricytochrome-c 2-oxidoreductase;Q6CCU5, Q6C9Q0
-2.19E-08;36.5036;y000264;ceramide-1 synthase (26C);Q6C2N3
-2.19E-08;36.5036;y000266;ceramide-2 synthase (26C);Q6C2N3
-2.19E-08;2.1269;y000483_EXP_1;glutathione peridoxase;Q6CCY8
-2.19E-08;2.3061;y000603;IPS phospholipase C;Q6C8M5
-2.19E-08;2.3061;y000633;IPS phospholipase C;Q6C8M5
-2.19E-08;2.4494;y300007_EXP_3;alkane oxidase (C16);F2Z6J3
-2.19E-08;32.0179;y300057;L-Glutamate 5-semialdehyde:NAD+ oxidoreductase;Q6CF74
-2.19E-08;2.376;y000676_REV;L-allo-threonine dehydrogenase (reversible);Q6CCQ8
-2.19E-08;4.3936;y003258_EXP_2;lanosteryl ester hydrolase (16:1), lipid particle;Q6C3U6
-2.19E-08;17.1213;y000152_REV;adenylosuccinate lyase (reversible);Q6CE97
-2.19E-08;2.3814;y001004;sphingoid base-phosphate phosphatase (phytosphingosine 1-phosphate);Q6C541
-2.19E-08;1.3054;y002171;B-hydroxyacyl-CoA dehydratase (trans-icos-2-enoyl-CoA);Q6C203
-2.19E-08;0.6666;y300006_EXP_6;long-chain alcohol dehydrogenase (C12);Q6CAJ7
-2.19E-08;17.8101;y300048;3-methylcrotonyl-CoA carboxylase;Q6CEM0
-2.19E-08;8.5959;y000172_EXP_2;aldehyde dehydrogenase (3-aminopropanal, NAD);Q6C9V7
-2.19E-08;328;y000464;glucan 1,4-alpha-glucosidase, vacuole;Q6C6Y8
-2.19E-08;40.7287;y001054_REV;triose-phosphate isomerase (reversible);Q6C2T9
-2.19E-08;1.1478;y000137_REV;acylation of GPI inositol at 2 position, GPI-anchor assembly, step 3 (reversible);Q6CAW6
-2.19E-08;9.3381;y000191_EXP_3;allophanate hydrolase;Q6C3G2
-2.19E-08;2.498;y000610;IPS phospholipase C;Q6C8M5
-2.19E-08;2.4389;y000613;IPS phospholipase C;Q6C8M5
-2.19E-08;2.498;y000640;IPS phospholipase C;Q6C8M5
-2.19E-08;2.4389;y000643;IPS phospholipase C;Q6C8M5
-2.19E-08;8.6607;y000968;riboflavin synthase;Q6CDE7
-2.19E-08;128.9407;y000021;2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase;F2Z6J4, Q6CEH1, Q6CEG2, Q6CBJ6, Q6C5T9, Q6C074, Q6C071
-2.19E-08;17.6283;y000310_EXP_2;cystathionine g-lyase;Q6C2Q9
-2.19E-08;5.4872;y000356_REV;diphosphoglyceromutase (reversible);Q6CFX7
-2.19E-08;260;y000568_EXP_1;inorganic diphosphatase;Q6CC75
-2.19E-08;2.4551;y000618;IPS phospholipase C;Q6C8M5
-2.19E-08;2.4551;y000648;IPS phospholipase C;Q6C8M5
-2.19E-08;34.7444;y001071_REV;UDPglucose--hexose-1-phosphate uridylyltransferase (reversible);Q6C0K3
-2.19E-08;4.3116;y002247_EXP_5;acyl-CoA oxidase (cis-tetradec-5-enoyl-CoA);F2Z627
-2.19E-08;82.9912;y200020_EXP_1;ribonucleotide reductase;Q6BZQ3
-2.19E-08;82.9912;y200021_EXP_1;ribonucleotide reductase;Q6BZQ3
-2.19E-08;10.1;y000213;asparaginyl-tRNA synthetase, miotchondrial;Q6C700
-2.19E-08;161;y000340_REV;dihydroceramidase (reversible);Q6C8E6
-2.19E-08;2.3064;y000604;IPS phospholipase C;Q6C8M5
-2.19E-08;2.3064;y000634;IPS phospholipase C;Q6C8M5
-2.19E-08;322;y000681_EXP_1;L-erythro-4-hydroxyglutamate:2-oxoglutarate aminotransferase;Q6CFZ7
-2.19E-08;322;y000681_EXP_2;L-erythro-4-hydroxyglutamate:2-oxoglutarate aminotransferase;Q6BZZ9
-2.19E-08;322;y000682_EXP_1;L-erythro-4-hydroxyglutamate:2-oxoglutarate aminotransferase;Q6CFZ7
-2.19E-08;322;y000682_EXP_2;L-erythro-4-hydroxyglutamate:2-oxoglutarate aminotransferase;Q6BZZ9
-2.19E-08;322;y000683_EXP_1;L-erythro-4-hydroxyglutamate:2-oxoglutarate aminotransferase;Q6CFZ7
-2.19E-08;322;y000683_EXP_2;L-erythro-4-hydroxyglutamate:2-oxoglutarate aminotransferase;Q6BZZ9
-2.19E-08;161;y000716_EXP_2;malate synthase;Q6C5R9
-2.19E-08;161;y000717_EXP_2;malate synthase;Q6C5R9
-2.19E-08;32.3379;y000854;phenylpyruvate decarboxylase;Q6CA04
-2.19E-08;18.6679;y300008_REV_EXP_5;long-chain alcohol dehydrogenase (C16) (reversible);Q6C5R5
-2.19E-08;46.31032857;y300025_EXP_3;long-chain aldehyde dehydrogenase (C10);
-2.19E-08;46.31032857;y300027_EXP_3;long-chain aldehyde dehydrogenase (C16);
-2.19E-08;96;y000222;ATP adenylyltransferase;Q6BZW6
-2.19E-08;2.4014;y000493;glycerol-3-phosphate/dihydroxyacetone phosphate acyltransferase;Q6CDI7
-2.19E-08;12;y000694;L-tryptophan:oxygen 2,3-oxidoreductase (decyclizing);Q6C0A4
-2.19E-08;79.9;y000793;nucleoside diphosphatase;Q6CBD9
-2.19E-08;4.1578;y300008_EXP_2;long-chain alcohol dehydrogenase (C16);Q6C7T0
-2.19E-08;12.2459;y000064_EXP_1;3-methyl-2-oxopentanoate decarboxylase;Q6CA04
-2.19E-08;9.9932;y000487_EXP_5;glycerol dehydrogenase (NADP-dependent);Q6CC16
-2.19E-08;11.3048;y000724_REV_EXP_2;methenyltetrahydrifikate cyclohydrolase (reversible);Q6BZU8
-2.19E-08;11.3048;y000725_REV_EXP_2;methenyltetrahydrofolate cyclohydrolase (reversible);Q6BZU8
-2.19E-08;127;y000951_REV;inosine phosphorylase (reversible);Q6BZX6
-2.19E-08;16.6941;y002245_EXP_3;acyl-CoA oxidase (oleoyl-CoA);O74936
-2.19E-08;9.5897;y300004_EXP_4;long-chain alcohol dehydrogenase (C10);Q6CGT5
-2.19E-08;0.1259;y000792;nucleoside diphosphatase;Q6CBD9
-2.19E-08;158;y000950_REV;guanosine phosphorylase (reversible);Q6BZX6
-2.19E-08;4.4895;y000999;sirohydrochlorin ferrochetalase;Q6C695
-2.19E-08;37.9209;y001076;ureidoglycolate hydrolase;Q6C2M0
-2.19E-08;24.2592;y002225;fatty acyl-CoA transport via ABC system (C20:0);Q6CHP7, Q6CAB6
-2.19E-08;9.9144;y002237_EXP_3;acyl-CoA oxidase (hexanoyl-CoA);F2Z630
-2.19E-08;8.5774;y300051;2-oxoadipate dehydrogenase;Q6C0L1
-2.19E-08;0.1958;y000304;coproporphyrinogen oxidase (O2 required);Q6C438
-2.19E-08;4.0809;y000484;glutathione peroxidase, mitochondria;Q6C0W3
-2.19E-08;4.968;y000562;hypoxanthine phosphoribosyltransferase (Hypoxanthine);Q6C5M6
-2.19E-08;34.0096;y000885;phosphoethanolamine cytidyltransferase;Q6CCV0
-2.19E-08;9.1798;y002242_EXP_4;acyl-CoA oxidase (palmitoleoyl-CoA);F2Z630
-2.19E-08;2.674;y300004_EXP_1;long-chain alcohol dehydrogenase (C10);Q6C297
-2.19E-08;24.59724286;y300004_EXP_3;long-chain alcohol dehydrogenase (C10);
-2.19E-08;129.5599;y300006_EXP_7;long-chain alcohol dehydrogenase (C12);Q6CGX5
-2.19E-08;2.0897;y300006_REV_EXP_6;long-chain alcohol dehydrogenase (C12) (reversible);Q6CAJ7
-2.19E-08;2.0897;y300026_EXP_6;long-chain aldehyde dehydrogenase (C12);Q6CAJ7
-2.19E-08;4.9;y000001_EXP_1;(R)-lactate:ferricytochrome-c 2-oxidoreductase;Q6CCU5, Q6C9Q0
-2.19E-08;0.0797;y000786;nicotinate-nucleotide diphosphorylase (carboxylating);Q6C6R1
-2.19E-08;0.0797;y000787;nicotinate-nucleotide diphosphorylase (carboxylating);Q6C6R1
-2.19E-08;2.3353;y000601;IPS phospholipase C;Q6C8M5
-2.19E-08;2.3353;y000631;IPS phospholipase C;Q6C8M5
-2.19E-08;0.1314;y001031_EXP_1;tetrahydrofolate:L-glutamate gamma-ligase (ADP-forming);Q6CHD4
-2.19E-08;0.1482;y002181;trans-2-enoyl-CoA reductase (n-C26:0CoA);Q6CHU1
-2.19E-08;9.7447;y002238_EXP_3;acyl-CoA oxidase (octanoyl-CoA);F2Z630
-2.19E-08;372;y000004;(S)-lactate:ferricytochrome-c 2-oxidoreductase;Q6C9Q0, Q6C538
-2.19E-08;2.1812;y000262;ceramide-1 hydroxylase (26C);Q6C1X0
-2.19E-08;2.5415;y000608;IPS phospholipase C;Q6C8M5
-2.19E-08;2.5415;y000638;IPS phospholipase C;Q6C8M5
-2.19E-08;107.7863;y000975_EXP_3;ribonucleotide reductase;Q6BZQ3
-2.19E-08;19.3947;y102884_REV;PE diacylglycerol acyltransferase (reversible);Q6C5M4
-2.19E-08;19.3947;y102948_REV;PC diacylglycerol acyltransferase (reversible);Q6C5M4
-2.19E-08;12.2414;y300004_EXP_5;long-chain alcohol dehydrogenase (C10);Q6C5R5
-2.19E-08;12.9404;y300008_EXP_5;long-chain alcohol dehydrogenase (C16);Q6C5R5
-2.19E-08;40.27;y000164_EXP_7;alcohol dehydrogenase (glycerol, NADP);Q6C9X2
-2.19E-08;40.27;y000205;arabinose reductase;Q6C9X2
-2.19E-08;4.825;y000214_EXP_1;aspartate carbamoyltransferase;Q6CAV8
-2.19E-08;8.1103;y000280_REV_EXP_1;cis-aconitate(3-) to isocitrate (reversible);Q6C9P6
-2.19E-08;5.8862;y000381_EXP_4;fatty acid oxidation (C18:2);F2Z627
-2.19E-08;2.2978;y000657;isobutyl acetate-hydrolyzing esterase;Q6CFG4
-2.19E-08;40.27;y000688_EXP_4;L-lactaldehyde:NADP+ 1-oxidoreductase;Q6C9X2
-2.19E-08;1141;y000713_EXP_1;malate dehydrogenase;Q6C8V3
-2.19E-08;1141;y000715_EXP_1;malate dehydrogenase, peroxisomal;Q6C8V3
-2.19E-08;1141;y000715_EXP_2;malate dehydrogenase, peroxisomal;Q6C5X9
-2.19E-08;0.00016;y000923_EXP_2;phosphatidylinositol 3-kinase;Q6C3L7
-2.19E-08;217;y001073;UMP kinase;Q6C2B0
-2.19E-08;19.3;y002118;tryptophan transaminase;Q6CCZ6
-2.19E-08;8.1103;y002305_REV_EXP_1;cis-aconitate(3-) to isocitrate (reversible);Q6C9P6
-2.19E-08;3.4826;y000249_REV;CAAX farnesyltransferase (reversible);Q6CEF2, Q6C928
-2.19E-08;0.8944;y000330_REV;deoxyguanylate kinase (dGMP:ATP) (reversible);Q6CBQ9
-2.19E-08;2.4681;y000612;IPS phospholipase C;Q6C8M5
-2.19E-08;2.4681;y000642;IPS phospholipase C;Q6C8M5
-2.19E-08;8.8563;y000074;4PP-IP5 pyrophosphorylation to 4,5-PP2-IP4;Q6C1R8
-2.19E-08;8.8563;y000093;6PP-IP5 pyrophosphorylation to 5,6-PP2-IP4;Q6C1R8
-2.19E-08;2.8033;y000103_EXP_2;acetyl-CoA C-acetyltransferase;Q6L8K7
-2.19E-08;2.8033;y000104_EXP_2;acetyl-CoA C-acetyltransferase;Q6L8K7
-2.19E-08;1.6266;y000117;2-methylcitrate dehydratase;Q6C354
-2.19E-08;0.8635;y000294_REV_EXP_1;cis-prenyltransferase step 14 (reversible);Q6CBH1
-2.19E-08;163.1975;y000532;hexaprenyldihydroxybenzoate methyltransferase;F2Z6J4, Q6CEH1, Q6CEG2, Q6CBJ6, Q6C5T9, Q6C074, Q6C071
-2.19E-08;14.2945;y001030;tetrahydrofolate aminomethyltransferase;Q6CHE0, Q6C8C6, Q6C7J7, Q6C340
-2.19E-08;13.4004;y002057;succinate transport;Q6CBU1
-2.19E-08;9.0787;y002241_EXP_6;acyl-CoA oxidase (tetracosanoyl-CoA);O74935
-2.19E-08;11.2545;y002269;3-hydroxyacyl-CoA dehydrogenase (3-oxooctadecanoyl-CoA);F2Z6I5
-2.19E-08;670;y000216_REV_EXP_2;aspartate transaminase (reversible);Q6BZZ9
-2.19E-08;2.2244;y000267;ceramide-3 synthase (24C);Q6C1X0
-2.19E-08;6.08;y000446_EXP_1;formate-tetrahydrofolate ligase;F2Z650
-2.19E-08;6.08;y000446_EXP_2;formate-tetrahydrofolate ligase;Q6BZU8
-2.19E-08;6.08;y000447_EXP_1;formate-tetrahydrofolate ligase;F2Z650
-2.19E-08;6.08;y000447_EXP_2;formate-tetrahydrofolate ligase;Q6BZU8
-2.19E-08;9.4409;y000522;GPI-anchor assembly, step 8;Q6CAB8
-2.19E-08;2.2854;y001031_EXP_2;tetrahydrofolate:L-glutamate gamma-ligase (ADP-forming);Q6C4Q7
-2.19E-08;0.5113;y001047;trans-pentaprenyltranstransferase;Q6CBH3
-2.19E-08;670;y001065_EXP_1;tyrosine transaminase;Q6CFZ7
-2.19E-08;670;y001065_EXP_2;tyrosine transaminase;Q6BZZ9
-2.19E-08;38;y001082;uroporphyrinogen methyltransferase;Q6CI67
-2.19E-08;7.3096;y300005_EXP_2;alkane oxidase (C12);F2Z6H3
-2.19E-08;2.6797;y300006_EXP_1;long-chain alcohol dehydrogenase (C12);Q6C297
-2.19E-08;19;y300054;crotonyl-CoA hydratase;Q6CF43
-2.19E-08;2.66;y000445_EXP_2;formate dehydrogenase;Q6CDZ5
-2.19E-08;3.6262;y000445_EXP_6;formate dehydrogenase;Q6C5X6
-2.19E-08;2.5561;y000705_REV;leukotriene A4 hydrolase (reversible);Q6C3E5
-2.19E-08;2.5561;y000706_REV;leukotriene A4 hydrolase (reversible);Q6C3E5
-2.19E-08;2.5561;y000707_REV;leukotriene A4 hydrolase (reversible);Q6C3E5
-2.19E-08;2.5561;y000708_REV;leukotriene A4 hydrolase (reversible);Q6C3E5
-2.19E-08;3.3663;y002241_EXP_1;acyl-CoA oxidase (tetracosanoyl-CoA);O74934
-2.19E-08;2.66;y103308;MAG lipase;Q6CBY1
-2.19E-08;1.0701;y300040_REV_EXP_2;erythrose reductase (reversible);Q6C177
-2.19E-08;121;y000097_EXP_2;acetolactate synthase;Q6CDI5, Q6CCG2
-2.19E-08;30.1;y000108;acetyl-Coa carboxylase;Q6CC91
-2.19E-08;19.6926;y000176_EXP_1;aldehyde dehydrogenase (indole-3-acetaldehyde, NAD);Q6CD79
-2.19E-08;19.6926;y000177_EXP_1;aldehyde dehydrogenase (indole-3-acetaldehyde, NADP);Q6CD79
-2.19E-08;19.6926;y000178_EXP_1;aldehyde dehydrogenase (indole-3-acetaldehyde, NADP);Q6CD79
-2.19E-08;0.9442;y000288_EXP_2;cis-prenyltransferase step 08;Q6C8R7
-2.19E-08;5.1929;y000341_REV;dihydroceramidase (reversible);Q6C8E6
-2.19E-08;4.492;y002034;pyruvate transport;Q6CD72, Q6C3F1
-2.19E-08;9.242;y002245_EXP_6;acyl-CoA oxidase (oleoyl-CoA);O74935
-2.19E-08;3.2713;y003253_EXP_2;ergosteryl ester hydrolase (18:1), lipid particle;Q6C3U6
-2.19E-08;34.4706;y102512;DAG kinase;Q6C158
-2.19E-08;121;y200008_EXP_2;O-succinylhomoserine lyase (elimination);Q6C8S4
-2.19E-08;0.3072;y000348;dihydroneopterin monophosphate dephosphorylase;Q6C3M9
-2.19E-08;2.1958;y000354_EXP_2;dihydroxyacetone kinase;Q6C2B3
-2.19E-08;5.4153;y000478;glutaminyl-tRNA synthetase;Q6CD53
-2.19E-08;15.7191;y001002_EXP_1;spermine synthase;Q6C706
-2.19E-08;42.307;y300026_EXP_3;long-chain aldehyde dehydrogenase (C12);
-2.19E-08;7.26;y000111;acetyl-CoA hydrolase;Q6C3Z9
-2.19E-08;0.9523;y000289_EXP_2;cis-prenyltransferase step 09;Q6C8R7
-2.19E-08;0.9886;y000297_EXP_2;cis-prenyltransferase step 17;Q6C8R7
-2.19E-08;0.0726;y000326_REV;dCMP deaminase (reversible);Q6CAZ2
-2.19E-08;0.821;y000410_REV;fatty-acid--CoA ligase (octanoate) (reversible);Q6C5Q8
-2.19E-08;7.1291;y000576;inositolphosphotransferase;Q6C5P1
-2.19E-08;7.2384;y000579;inositolphosphotransferase;Q6C5P1
-2.19E-08;6.249;y000688_EXP_7;L-lactaldehyde:NADP+ 1-oxidoreductase;Q6C9C1
-2.19E-08;22.2318;y000936;poylamine oxidase;Q6CDJ6
-2.19E-08;2.2425;y000983;ribosylnicotinamide kinase;Q6CEL5
-2.19E-08;8.59;y002243_EXP_1;acyl-CoA oxidase (cis-tetradec-7-enoyl-CoA);O74934
-2.19E-08;8.59;y002243_EXP_2;acyl-CoA oxidase (cis-tetradec-7-enoyl-CoA);Q6C6T0
-2.19E-08;8.59;y002243_EXP_3;acyl-CoA oxidase (cis-tetradec-7-enoyl-CoA);O74936
-2.19E-08;8.59;y002243_EXP_4;acyl-CoA oxidase (cis-tetradec-7-enoyl-CoA);F2Z630
-2.19E-08;8.59;y002243_EXP_5;acyl-CoA oxidase (cis-tetradec-7-enoyl-CoA);F2Z627
-2.19E-08;8.59;y002243_EXP_6;acyl-CoA oxidase (cis-tetradec-7-enoyl-CoA);O74935
-2.19E-08;8.59;y002244_EXP_1;acyl-CoA oxidase (cis-dodec-5-enoyl-CoA);O74934
-2.19E-08;8.59;y002244_EXP_2;acyl-CoA oxidase (cis-dodec-5-enoyl-CoA);Q6C6T0
-2.19E-08;8.59;y002244_EXP_3;acyl-CoA oxidase (cis-dodec-5-enoyl-CoA);O74936
-2.19E-08;8.59;y002244_EXP_4;acyl-CoA oxidase (cis-dodec-5-enoyl-CoA);F2Z630
-2.19E-08;8.59;y002244_EXP_5;acyl-CoA oxidase (cis-dodec-5-enoyl-CoA);F2Z627
-2.19E-08;8.59;y002244_EXP_6;acyl-CoA oxidase (cis-dodec-5-enoyl-CoA);O74935
-2.19E-08;2.3232;y003260_EXP_1;zymosteryl ester hydrolase (16:1), lipid particle;Q6C7I7
-2.19E-08;2.3232;y003262_EXP_1;zymosteryl ester hydrolase (16:1), cell envelope;Q6C7I7
-2.19E-08;7.26;y004039_REV;succinyl-CoA:acetate CoA transferase (reversible);Q6C3Z9
-2.19E-08;2.0776;y200013;nicotinate riboside kinase;Q6CEL5
-2.19E-08;20.5072;y000220;Aspartyl-tRNA synthetase;Q6C868
-2.19E-08;5.2488;y000381_EXP_5;fatty acid oxidation (C18:2);O74934
-2.19E-08;2.5634;y000606;IPS phospholipase C;Q6C8M5
-2.19E-08;2.5634;y000636;IPS phospholipase C;Q6C8M5
-2.19E-08;23.476;y000964_EXP_1;reduced glutathione via ABC system;Q6C4N2
-2.19E-08;13;y001048;transaldolase;Q6C1K2
-2.19E-08;7.2727;y002117;phenylalanine transaminase;Q6CCZ6
-2.19E-08;0.363;y002156;elongase II (3-oxooctadecanoyl-CoA);Q6CDY7
-2.19E-08;22.8107;y002166;B-ketoacyl-CoA reductase (3-hydroxytetracosanoyl-CoA);Q6CHP1
-2.19E-08;2.7302;y103160;PI 4-P phosphatase;Q6CA45
-2.19E-08;2.7302;y103168;PI 4-P phosphatase;Q6CA45
-2.19E-08;4.3293;y000164_EXP_6;alcohol dehydrogenase (glycerol, NADP);Q6CAC3
-2.19E-08;3.657;y000501;glycine cleavage system;Q6CHE0, Q6C8C6, Q6C7J7, Q6C340
-2.19E-08;3.657;y000506;glycine-cleavage complex (lipoylprotein);Q6CHE0, Q6C8C6, Q6C7J7, Q6C340
-2.19E-08;1.0272;y000675;L-allo-threonine aldolase;Q6CG81
-2.19E-08;24.039;y000688_EXP_5;L-lactaldehyde:NADP+ 1-oxidoreductase;Q6C9S3
-2.19E-08;103.7;y000789;nucleoside diphosphatase;Q6CBD9
-2.19E-08;354;y000892_REV;phosphoglycerate kinase (reversible);P29407
-2.19E-08;73.1514;y000979_EXP_3;ribonucleotide reductase;Q6BZQ3
-2.19E-08;3.3326;y001006;sphingolipid long chain base kinase (phytosphingosine);W0TYP2
-2.19E-08;4.6;y001066;tyrosyl-tRNA synthetase;Q6CBV3
